Temp, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
29,57,18,0,66,3,8,1,3,1,0
29,61,13,1,64,4,8,1,4,0,0
26,82,22,13,47,3,7,0,3,0,0
25,89,13,3,29,1,7,0,2,0,0
27,77,16,0,65,3,14,1,4,1,0
31,67,14,0,83,6,22,3,7,3,1
33,54,13,0,88,10,31,6,11,7,1
30,73,15,0,87,12,38,6,14,7,1
25,88,13,0,53,8,39,0,11,0,0
28,79,12,0,73,10,46,1,13,1,0
31,65,14,0,85,13,54,4,16,6,1
26,81,19,0,84,14,61,5,18,7,1
27,84,21,1,50,7,17,1,7,0,0
30,78,20,1,59,5,8,1,4,0,0
28,80,17,3,49,3,7,0,3,0,0
29,89,13,1,36,2,8,0,2,0,0
30,89,16,1,37,1,8,0,2,0,0
31,78,14,0,57,2,8,1,2,0,0
31,55,16,0,80,5,16,3,5,1,0
30,80,16,0,60,3,27,1,5,0,0
30,78,14,0,81,6,32,3,8,2,1
31,67,17,0,79,7,40,2,10,2,0
32,62,18,0,81,8,48,3,12,4,1
32,66,17,0,86,11,56,6,15,8,1
31,64,15,0,87,14,64,6,18,8,1
31,64,18,0,87,18,72,7,22,11,1
34,53,18,0,89,22,80,9,26,15,1
32,55,14,0,89,26,89,8,30,14,1
32,47,13,0,80,18,84,2,24,4,0
33,50,14,0,89,23,93,7,28,13,1
29,68,19,1,60,3,9,1,3,0,0
27,75,19,1,56,2,8,1,3,0,0
32,76,20,1,63,3,9,1,3,1,0
33,78,17,0,80,5,19,3,6,2,0
33,66,14,0,86,8,28,5,9,5,1
32,63,14,0,87,11,37,6,13,7,1
35,64,18,0,80,10,40,3,12,3,0
33,68,19,0,86,13,50,6,15,8,1
32,68,14,1,67,8,9,1,7,1,0
33,69,13,1,67,6,9,1,6,1,0
33,76,14,0,81,8,19,3,8,2,0
31,75,13,0,75,8,28,2,9,1,0
34,81,15,0,82,10,37,3,12,3,0
34,61,13,1,74,8,23,1,8,1,0
30,80,19,0,61,5,17,1,6,1,0
28,76,21,0,73,7,26,1,8,0,0
29,70,14,0,83,9,34,3,11,4,1
31,68,14,0,85,12,43,5,14,6,1
35,59,17,0,88,12,53,8,18,11,1
33,65,15,0,81,12,62,3,17,4,1
33,70,17,0,85,19,72,5,22,9,1
28,79,18,0,73,16,80,2,22,3,0
27,66,22,0,68,11,71,2,15,2,0
28,78,16,0,70,10,80,1,15,1,0
31,65,18,0,84,13,89,5,19,7,1
36,53,19,0,89,17,99,10,24,15,1
36,48,13,0,90,22,109,9,29,15,1
33,76,15,0,87,24,118,6,32,11,1
32,73,15,0,87,27,127,6,35,12,1
31,79,15,0,85,29,136,5,37,11,1
35,64,17,0,87,32,146,7,41,16,1
36,45,14,0,79,5,10,2,5,1,0
35,55,12,0,78,6,10,2,6,1,0
35,63,14,0,77,6,10,2,6,1,0
34,69,13,0,85,8,20,4,8,4,1
34,65,13,0,87,11,30,5,12,6,1
32,75,14,0,86,13,39,5,14,7,1
