Error Code,Cabinet Temp (-C),ALU,ALL (-C),SAA (-C),LS (-C)
1,15,150,49,42,41.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
1,20,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,17,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,17,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
1,20,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,17,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
1,20,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
1,20,150,50,42,42.5
1,20,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,17,150,50,42,42.5
1,18,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,19,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,18,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,19,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
0,23,150,50,42,42.5
1,20,150,50,42,42.5
