ID,YEAR,MONTH,CIRCUIT_NO,APP_CODE,REGION,VILLAGE,SUBDISTRICT,DISTRICT,PROVINCE,AP_NAME,IP_ADDRESS,UPLOAD,DOWNLOAD,NUM_USERS,NUM_DEVICES
1,2563,ธันวาคม,7561d9000,SR664610,ภ.4,หมู่ 2 คลองหมาก,เกาะลันตาน้อย,เกาะลันตา,กระบี่,KBI-SR664610,172.18.168.2," 7,750.75 "," 239,446.36 ",1214,177
2,2563,ธันวาคม,4485d9000,SR711371,ภ.2,หมู่ 13 บ้านมะเกลือ,บ้านกอก,จัตุรัส,ชัยภูมิ,CPM-SR711371,172.16.140.2," 6,339.29 "," 87,796.03 ",371,58
3,2563,ธันวาคม,4485d9001,SR711374,ภ.2,หมู่ 17 บ้านโนนทอง,บ้านกอก,จัตุรัส,ชัยภูมิ,CPM-SR711374,172.16.140.10," 1,710.02 "," 16,700.55 ",349,80
4,2563,ธันวาคม,4486d9000,SR711628,ภ.2,หมู่ 1 เพชร,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711628,172.16.140.50," 6,250.26 "," 116,158.55 ",900,250
5,2563,ธันวาคม,4486d9001,SR711630,ภ.2,หมู่ 8 เพชรใต้,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711630,172.16.140.58," 3,101.74 "," 38,509.04 ",944,335
6,2563,ธันวาคม,4486d9002,SR711631,ภ.2,หมู่ 9 กุดตูม,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711631,172.16.140.66," 5,196.95 "," 131,212.46 ",567,66
7,2563,ธันวาคม,4486d9003,SR711641,ภ.2,หมู่ 16 โคกสะอาด,โคกสะอาด,ภูเขียว,ชัยภูมิ,CPM-SR711641,172.16.140.74," 18,659.53 "," 307,030.12 ",1603,150
8,2563,ธันวาคม,4481d9000,SR711715,ภ.2,หมู่ 3 นางเม้ง,โพนทอง,เมืองชัยภูมิ,ชัยภูมิ,CPM-SR711715,172.16.140.18," 9,567.68 "," 175,067.88 ",1288,133
9,2563,ธันวาคม,4481d9001,SR711716,ภ.2,หมู่ 4 หนองหญ้ารังกา,โพนทอง,เมืองชัยภูมิ,ชัยภูมิ,CPM-SR711716,172.16.140.26," 2,560.47 "," 39,358.07 ",583,174
10,2563,ธันวาคม,4481d9002,SR711732,ภ.2,หมู่ 5 หนองคอนไทย,กุดตุ้ม,เมืองชัยภูมิ,ชัยภูมิ,CPM-SR711732,172.16.140.34," 1,121.06 "," 20,987.16 ",374,93
11,2563,ธันวาคม,4481d9003,SR711737,ภ.2,หมู่ 14 หนองคอนไทย,กุดตุ้ม,เมืองชัยภูมิ,ชัยภูมิ,CPM-SR711737,172.16.140.42," 21,502.17 "," 412,934.54 ",1955,107
12,2563,ธันวาคม,5334d9000,SR672609,ภ.3,หมู่ 8 อมเม็ง,กองแขก,แม่แจ่ม,เชียงใหม่,CMI-SR672609,172.18.36.2," 11,230.78 "," 244,868.82 ",1391,112
13,2563,ธันวาคม,5334d9001,SR673096,ภ.3,หมู่ 4 นาฟ่อน,บ่อหลวง,ฮอด,เชียงใหม่,CMI-SR673096,172.18.36.10," 8,221.76 "," 125,824.13 ",758,92
14,2563,ธันวาคม,5334d9002,SR772040,ภ.3,หมู่ 12 นางยางดิน,กองแขก,แม่แจ่ม,เชียงใหม่,CMI-SR772040,172.18.36.18," 23,086.26 "," 469,540.53 ",2446,147
15,2563,ธันวาคม,5558d9000,SR673903,ภ.3,หมู่ 7 สันป่าตึง,แม่ระมาด,แม่ระมาด,ตาก,TAK-SR673903,172.18.44.2," 4,029.16 "," 81,432.11 ",619,45
16,2563,ธันวาคม,7541d9000,SR677583,ภ.4,หมู่ 2 ควนแร่,นาไม้ไผ่,ทุ่งสง,นครศรีธรรมราช,NRT-SR677583,172.18.190.2," 9,548.10 "," 150,030.27 ",969,62
17,2563,ธันวาคม,5445d9000,SR683976,ภ.3,หมู่ 8 จุนพัฒนา,จุน,จุน,พะเยา,PYO-SR683976,172.18.74.114," 10,174.47 "," 217,242.87 ",2213,186
